
1;Блуждающий остров. Том 2;Приключения;1925
2;Завтра, завтра, завтра;Роман;1765
3;Девушка с татуировкой дракона;Роман;1997
4;Воспоминания Элизабет Франкенштейн;Фольклор;2005
5;Загадочное ночное убийство собаки;Приключения;1761
6;Шестое чувство;Юмор;1893
7;Исчезнувший рог Минотавра;Комиксы;1923
8;Дела семейные;Триллер;1792
9;Омон Ра;Детектив;1811
10;Дама с чужими собачками;Детский;1963
11;Достойный высший суд;Комиксы;1779
12;Завещание Аввакума;Юмор;1857
13;Вот идет Мессия!..;Религиозный;1743
14;Личный враг Геринга;Триллер;1954
15;Стеклянный сад. Щит царя Леонида;Поэзия;2005
16;Трепетный трепач;Триллер;1802
17;Танец с Клинком;Фольклор;1878
18;Операция «Яростный полдень»;Триллер;1984
19;Энциклопедия Русского Поморья в очерках и рассказах коренного помора;Триллер;1933
20;Я люблю привидение;Детектив;1941
21;Дурак космического масштаба;Религиозный;1871
22;Очень теплые рассказы.;Юмор;1975
23;Лотта Ленья. В окружении гениев;Детектив;1733
24;Итальянская поэзия между XX и XXI веком;Комиксы;1946
25;Полупрозрачный палимпсест: рассказы, эссе и заметки;Приключения;1946
26;Синяя материя. Сборник эссе;Детский;1743
27;Катеринославские имена;Юмор;1781
28;Белый Лис на большой дороге;Фольклор;1945
29;Страна зелёных долин;Поэзия;1860
30;Известный Алексеев. Т.6: Избранные стихотворения;Ужасы;1798
31;Польская супруга Наполеона;Детский;1994
32;Фальконер. Ретро-детектив;Фольклор;1757
33;Новая Афи;Роман;1811
34;Король-предатель. Скандальное изгнание герцога и герцогини Виндзорских;Религиозный;1816
35;Мир;Комиксы;1767
36;Свенельд. Путь серебра;Поэзия;1893
37;Испорченные сказания. Том 4. Шаг за рубеж;Детский;1752
38;Шиари выбирает первой;Юмор;2017
39;Ленинград сражающийся: 1941-1942 гг.;Фольклор;1910
40;Три судьбы под солнцем;Фантастика;1825
41;451' по Фаренгейту;Приключения;1898
42;Мастер и Маргарита;Детский;1769
43;Ведьмы графства Эссекс;Фантастика;1996
44;Антикварные сказки;Юмор;1763
45;Дары волхвов;Религиозный;1923
46;Флирт на поражение;Поэзия;1751
47;Камо грядеши;Научный;1970
48;Оллвард. Разрушитель клинка (#2);Триллер;1908
49;Грехи наших отцов;Ужасы;1849
50;Крест Шарлотты;Поэзия;1868
51;После тебя только пепел;Фантастика;2014
52;Открытие удочки: роман;Детский;1711
53;Гамбит. Банальное убийство;Фантастика;1872
54;Дом тишины;Детский;1875
55;Пони;Триллер;1965
56;Звездная жатва;Поэзия;1852
57;Его дерзкий поцелуй;Поэзия;1735
58;Дело Варнавинского маньяка;Роман;1990
59;Тайные полномочия;Поэзия;1916
60;Саламбо;Фантастика;1987
61;Иностранец. Возвращение домой;Юмор;1886
62;Отсчет. Жатва;Детский;2022
63;Фортуна благоволит грешным;Роман;2002
64;Найти себя. Лучшая фантастика — 2023;Триллер;1980
65;Клянусь, что стану знаменитым;Приключения;2020
66;Исповедь англичанина, употреблявшего опиум;Комиксы;1904
67;Роскошь: рассказы;Триллер;1810
68;Механическое сердце;Роман;1947
69;Мир, которого нет;Комиксы;1840
70;Он - мой лед;Детектив;1767
71;Чужой трон. Книга 2;Детектив;1925
72;Забытые земли. Книга 1;Научный;1719
73;Парень подруги. Ты не для меня;Ужасы;1839
74;Брат жениха. Он хочет меня;Религиозный;1868
75;Глиняная книга: поэма;Приключения;1700
76;Поэт красивым должен быть, как бог…: стихотворения;Научный;1854
77;Избранные стихотворения: Ночной полет , Полдень в комнате , Вид с холма (комплект из 3 книг);Детский;1739
78;Годы с пумой. Как одна кошка изменила мою жизнь;Юмор;1771
79;Когда наступит тьма;Юмор;1738
80;Робот-зазнайка и другие фантастические истории;Поэзия;1874
81;Скрытые картинки;Комиксы;1721
82;Волшебник;Фольклор;1815
83;Молчаливые боги. Книга 2. Мастер артефактов;Религиозный;2010
84;Твоя тень;Детектив;1993
85;Хвост Скорпиона;Детектив;2021
